Code,Transport,Longitude,Latitude,Bus_Stop,District_Name,Neighborhood_Name,Transbordo
1507,Day bus stop,2.146475,41.39317,BUS-33,Eixample,l'Antiga Esquerra de l'Eixample,S
1876,Day bus stop,2.205261,41.40526,BUS-136,Sant MartÃ­,el Poblenou,S
2112,Day bus stop,2.120917,41.38661,BUS-E43,Les Corts,la Maternitat i Sant Ramon,S
1319,Day bus stop,2.196373,41.39045,BUS-V27,Sant MartÃ­,la Vila OlÃ­mpica del Poblenou,S
1432,Day bus stop,2.17041,41.45965,BUS-76,Nou Barris,Ciutat Meridiana,S
1638,Day bus stop,2.055835,41.36559,BUS-L46,,,S
1692,Day bus stop,2.161727,41.44157,BUS-82,Horta-GuinardÃ³,Horta,N
70,Day bus stop,2.124251,41.33789,BUS-110,Sants-MontjuÃ¯c,la Marina del Prat Vermell,N
1252,Day bus stop,2.127698,41.3787,BUS-H10,Les Corts,la Maternitat i Sant Ramon,S
1174,Day bus stop,2.148555,41.37432,BUS-E95,Sants-MontjuÃ¯c,el Poble-sec,S
1173,Day bus stop,2.144973,41.37178,BUS-H16,Sants-MontjuÃ¯c,la Font de la Guatlla,S
1750,Day bus stop,2.15405,41.39889,BUS-87,GrÃ cia,la Vila de GrÃ cia,N
1639,Day bus stop,2.132851,41.38914,BUS-V7,Les Corts,les Corts,S
1806,Day bus stop,2.134136,41.41427,BUS-123,SarriÃ -Sant Gervasi,Sant Gervasi - la Bonanova,S
1321,Day bus stop,2.193718,41.38847,BUS-V27,Sant MartÃ­,la Vila OlÃ­mpica del Poblenou,S
2274,Day bus stop,2.214891,41.41436,BUS-136,Sant MartÃ­,el BesÃ²s i el Maresme,S
1113,Day bus stop,2.183515,41.38712,BUS-H14,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",S
2109,Day bus stop,2.151179,41.37629,BUS-H16,Eixample,Sant Antoni,S
1610,Day bus stop,2.108716,41.38709,BUS-EP1,Les Corts,Pedralbes,S
1480,Day bus stop,2.112035,41.39334,BUS-78,Les Corts,Pedralbes,S
1481,Day bus stop,2.103965,41.38491,BUS-78,Les Corts,Pedralbes,S
1861,Day bus stop,2.168003,41.3981,BUS-H10,Eixample,la Dreta de l'Eixample,S
664,Day bus stop,2.143332,41.36436,BUS-125,Sants-MontjuÃ¯c,la Marina de Port,S
857,Day bus stop,2.140321,41.33497,BUS-109,Sants-MontjuÃ¯c,la Marina del Prat Vermell,S
856,Day bus stop,2.137373,41.33108,BUS-109,Sants-MontjuÃ¯c,la Marina del Prat Vermell,S
307,Day bus stop,2.091507,41.42725,BUS-118,SarriÃ -Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",N
1189,Day bus stop,2.169195,41.43911,BUS-B19,Nou Barris,la Guineueta,S
1440,Day bus stop,2.183636,41.46296,BUS-97,Nou Barris,Vallbona,S
1174,Day bus stop,2.148555,41.37432,BUS-91,Sants-MontjuÃ¯c,el Poble-sec,S
925,Day bus stop,2.159762,41.41133,BUS-D40,GrÃ cia,el Camp d'en Grassot i GrÃ cia Nova,S
1394,Day bus stop,2.139849,41.41937,BUS-60,GrÃ cia,Vallcarca i els Penitents,S
